公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,Python高级研发工程师-度假事业部(J11528),3-5年,本科,20k-40k,团队氛围融洽，帅哥美女多，年假多，年终奖
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python后端工程师,3-5年,本科,25k-50k,大牛多
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python工程师,不限,本科,20k-35k,"免费中晚餐,下午茶,六险一金,扁平化管理"
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,Python开发工程师,1-3年,本科,10k-20k,"七险一金,14薪,提供三餐,晋升空间"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python 中高级工程师,3-5年,本科,25k-50k,"业务发展快,技术氛围浓,福利好,上升空间大"
北京棕榈创想科技有限公司,PALMAX,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,"14薪,技术新,大牛多,年度体检"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,高级Python开发工程师—CI/CD方向,3-5年,本科,20k-40k,"五险一金,创业公司,发展空间大,补充医疗"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python工程师-赴微软小冰,1-3年,本科,8k-10k,"六险一金,带薪年假,节日福利,弹性工作"
深圳市麦达数字股份有限公司,麦达数字,500-2000人,上市公司,朝阳区,PYTHON研发工程师,3-5年,本科,25k-35k,"上市公司,五险一金,薪酬福利好,发展空间大"
企鹅创新（北京）科技有限公司,企鹅创新,50-150人,天使轮,朝阳区,Python工程师,3-5年,本科,15k-25k,"五险一金,带薪年假,午餐报销"
北京智水互娱科技有限公司,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,1-3年,大专,20k-40k,"海外,高薪"
北京心跳时空科技有限公司,快爽,15-50人,A轮,朝阳区,Python 后端开发工程师,不限,本科,25k-35k,"公司有橘猫,产研是核心,团队正面刚,不甩锅"
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,未融资,朝阳区,python 高级工程师,3-5年,大专,20k-35k,"十五薪,打车补贴,双月奖金"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python架构师,5-10年,本科,35k-60k,"硅谷范办公,六险一金,水果零食,团队氛围佳"
北京南天软件有限公司,南软,500-2000人,上市公司,海淀区,Python开发工程师,3-5年,本科,10k-18k,"五险一金,年终奖金,带薪年假,交补话补"
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,初级Python开发工程师,3-5年,本科,10k-15k,"五险一金,全勤奖,餐补,年终奖金"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python研发工程师,1-3年,本科,20k-25k,"扁平化管理,免费中午餐,下午茶零食,六险一金"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python开发,不限,本科,10k-13k,"大公司,六险一金,人工智能,班车食堂"
北京爱选信息科技有限公司,爱选科技,少于15人,天使轮,朝阳区,Python开发工程师,3-5年,本科,15k-25k,"金融科技类,公司氛围好"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师—监控方向,3-5年,本科,15k-30k,"五险一金,创业公司,补充医疗,带薪年假"
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-25k,平台好，发展空间大
人人贷商务顾问（北京）有限公司,人人贷,2000人以上,A轮,海淀区,Python开发高级工程师,3-5年,本科,30k-60k,"五险一金,节假日礼金,竞争力薪酬"
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,高级python开发工程师,3-5年,本科,15k-30k,"大牛带队,注重成长,季度奖金,免费午餐"
厦门美柚信息科技有限公司,美柚,500-2000人,D轮及以上,朝阳区,资深python开发工程师,5-10年,本科,20k-40k,"福利好,发展快"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1年以下,硕士,15k-30k,"飞速发展,技术氛围浓,大牛担任导"
遨游酒店信息技术(深圳)有限责任公司,遨游酒店信息技术(深圳)有限责任公司,500-2000人,不需要融资,朝阳区,高级Python研发工程师,3-5年,本科,15k-30k,"弹性上下班,高速发展,高速成长"
北京火币天下网络技术有限公司,火币网,150-500人,A轮,海淀区,python高级工程师,不限,本科,20k-30k,"区块链行业,行业领头羊,团队优秀,牛人大拿"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 3 开发 (MJ000552),1-3年,本科,20k-35k,"三餐,健身房,mac"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,Python工程师,1-3年,本科,10k-20k,"空间大,机会多,福利好"
紫梧桐（北京）资产管理有限公司,蛋壳公寓,2000人以上,B轮,东城区,Python开发工程师,5-10年,本科,20k-40k,技术大牛团
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深Python研发工程师,3-5年,本科,20k-40k,"上市公司,六险一金,发挥空间,团队氛围"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,python（赴百度）,1-3年,本科,11k-18k,"大厂经验,班车食堂,六险一金"
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,python工程师,3-5年,本科,15k-25k,"平台好,发展空间大"
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,python开发工程师,1-3年,本科,10k-20k,"大牛带队,注重成长,季度奖金,免费午餐"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 开发工程师,1-3年,本科,18k-36k,健康三餐 免费健身游泳 大牛团队
北京源石智影科技有限公司,智影,50-150人,不需要融资,朝阳区,高级python开发工程师,5-10年,本科,20k-40k,"朝阳行业,平台广阔,技术大牛,福利丰厚"
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级研发工程师（中学业务）,3-5年,本科,20k-40k,"绩效奖金,带薪年假,定期体检,年度旅游"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python工程师,3-5年,大专,16k-20k,九险一金
北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,Python开发工程师,3-5年,本科,10k-20k,"周末双休,法定节假日,六险一金,年底双薪"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python开发工程师-变现业务,1-3年,本科,25k-40k,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,Python开发工程师,1-3年,本科,20k-35k,"六险一金,绩效奖金,发展空间大,股票期权"
北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,18k-35k,"住房补贴,优厚待遇,福利多,专属班车"
柔持（北京）科技有限公司,柔持英语,150-500人,B轮,朝阳区,Python后端开发工程师,1-3年,本科,20k-30k,"交通方便,弹性时间,不加班"
上海诚信互通网络信息科技有限公司,诚信互通,150-500人,A轮,海淀区,Python研发工程师,3-5年,大专,15k-30k,五险一金
北京博派通达科技有限公司,博派通达,50-150人,A轮,朝阳区,Python开发工程师,3-5年,不限,15k-30k,"不限量零食,福利多多,年终奖,办公环境好"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python架构师,5-10年,本科,30k-60k,带薪年假、五险一金、一日三餐、定期体检
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,Python工程师,3-5年,本科,18k-35k,"6险一金,弹性工作,团队好,氛围轻松"
京东金融,京东金融,2000人以上,上市公司,大兴区,高级Python开发工程师,5-10年,本科,20k-40k,"班车,餐补"
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级开发工程师（技术）,3-5年,本科,25k-50k,"独角兽,待遇好"
南京绛门信息科技股份有限公司,绛门科技,500-2000人,未融资,朝阳区,Python,3-5年,大专,12k-22k,"五险一金,带薪年假,定期体检,员工旅游"
亚马逊卓越有限公司,Amazon,500-2000人,不需要融资,朝阳区,Python Developer,3-5年,本科,25k-50k,"硅谷文化,产品影响力,团队大牛"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（中高级）,3-5年,本科,15k-25k,"管理扁平化,发展机会佳,薪资待遇好"
信永中和会计师事务所（特殊普通合伙）,信永中和,2000人以上,不需要融资,东城区,Python开发工程师,3-5年,本科,15k-25k,"环境好,不加班,大公司"
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,python讲师,3-5年,不限,18k-36k,"领导好,奖金多,行业翘楚,无限可能"
北京天广汇通科技有限公司,天广汇通,50-150人,不需要融资,海淀区,python开发工程师,3-5年,本科,15k-25k,软件工程师
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师（运维开发）,3-5年,本科,15k-30k,"五险一金,位置便利,成长空间,弹性工作"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,中高级Python开发,3-5年,本科,18k-36k,"团队牛人多,年终奖丰厚,晋升调薪,全五险一金"
安一恒通（北京）科技有限公司,度小满金融,500-2000人,A轮,海淀区,Python工程师,1-3年,本科,15k-30k,"技术过硬,经验丰富"
北京小度互娱科技有限公司,百度视频,150-500人,B轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,"团队优秀,福利优厚"
京东商城-技术研发体系-大数据部,京东商城研发部,2000人以上,上市公司,大兴区,Python,5-10年,本科,30k-50k,"行业前沿,部门直招,核心加班,核心团队"
北京快松果科技有限公司,松果出行,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,30k-45k,"大牛多,快速发展期,业务好,17薪"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,高级Python开发工程师—监控方向,3-5年,本科,20k-40k,"创业公司,补充医疗,五险一金,带薪休假"
视觉（中国）文化发展股份有限公司北京分公司,视觉中国,150-500人,上市公司,朝阳区,python开发工程师,3-5年,本科,15k-25k,"上市公司,六险一金,带薪年假,绩效奖金"
北京中公教育科技股份有限公司,中公教育,2000人以上,未融资,海淀区,Python助理讲师,1-3年,本科,7k-10k,"五险一金,年底奖金"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,股票期权，五险一金，交补餐补，零食水果
北京众安天下科技有限公司,众安天下 allsec,15-50人,天使轮,海淀区,Python开发工程师,3-5年,本科,20k-30k,"五险一金,带薪年假,免费体检,零食管饱"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级数据工程师,3-5年,本科,20k-30k,"五险一金,一日三餐,带薪年假,定期体检"
北京心跳时空科技有限公司,快爽,15-50人,A轮,朝阳区,Python开发工程师（后端）,1-3年,本科,20k-30k,"大牛坐镇,天花板高,协作效率高,成长力爆炸"
北京企名片科技有限公司,企名片,50-150人,A轮,海淀区,Python研发工程师,应届毕业生,本科,7k-12k,"环境位置好,90后团队,技术成长快,待遇从优"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,高级python开发工程师,5-10年,本科,28k-45k,"七险一金,免费健身,年轻化,不打卡"
上海谦问万答吧云计算科技有限公司,学霸君,2000人以上,C轮,朝阳区,Python研发工程师,3-5年,本科,20k-35k,地铁周边
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-45k,"优秀团队,科技金融,六险一金,工作居住证"
北京源石智影科技有限公司,智影,50-150人,不需要融资,朝阳区,python开发工程师,1-3年,本科,15k-20k,"朝阳行业,平台广阔,技术大牛,福利丰厚"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,资深Python开发,5-10年,本科,30k-45k,"三餐,健身房,mac"
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,Python高级开发工程师 (MJ003815),3-5年,本科,15k-25k,"股权激励,上市平台,发展空间,大平台"
北京厨芯科技有限公司,厨芯科技,150-500人,A轮,朝阳区,Python开发工程师,3-5年,本科,15k-30k,"高速成长,扁平管理"
北京中公教育科技股份有限公司,中公教育,2000人以上,未融资,海淀区,Python研发编辑,1-3年,本科,15k-25k,"五险一金,年终奖金"
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,python开发,应届毕业生,本科,10k-20k,"六险一金,免费午餐,极客氛围,薪资高"
安一恒通（北京）科技有限公司,度小满金融,500-2000人,A轮,海淀区,python工程师,1-3年,本科,15k-30k,弹性工作制
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,Python助教,1-3年,本科,6k-8k,"空间无限大,领导好,团队优秀,团队氛围好"
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,python开发工程师,1-3年,本科,20k-40k,"加班少,福利好"
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,Python开发工程师,3-5年,本科,15k-30k,"前沿技术,丰富下午茶,弹性工作,扁平管理"
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,3-5年,本科,12k-18k,"五险一金,绩效奖金,餐补"
北京雷石世纪科技有限公司,北京雷石公司,150-500人,A轮,朝阳区,Python工程师,1-3年,大专,10k-20k,"补充医疗险,弹性工作制"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,,家长帮-Python/Django web开发工程师,3-5年,本科,20k-35k,上市公司，六险一金，住房无息，福利待遇好
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,中高级Python开发工程师,3-5年,本科,20k-30k,"五险一金,全勤奖,餐补,年终奖金"
北京墨迹风云科技股份有限公司,墨迹天气,150-500人,C轮,朝阳区,Python开发工程师,3-5年,本科,15k-25k,"5亿用户,六险一金"
非凡维格（北京）信息科技有限公司,Weego Travel,50-150人,B轮,朝阳区,Python高级工程师-服务器端,3-5年,本科,25k-50k,"国际产品,带薪年假,弹性工作,开放办公"
北京格上添富科技发展有限公司,格上添富,150-500人,不需要融资,朝阳区,Python研发工程师,3-5年,本科,13k-25k,弹性工作，扁平化管理，零食水果
上海裕木信息科技有限公司,裕木科技,50-150人,未融资,朝阳区,资深python工程师,5-10年,本科,35K-70K,"行业前景好,顶级团队,薪资高,产品业绩好"
北京下厨房科技有限公司,下厨房,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,15k-25k,"带薪年假多,免费午餐,弹性工作制,工作氛围佳"
